Wed Jul 21 00:19:53 2021    profile.bin

         20713429 function calls (19569083 primitive calls) in 46.702 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1735    0.002    0.000    0.018    0.000 <__array_function__ internals>:2(transpose)
     3470    0.004    0.000    0.018    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
        1    0.000    0.000    0.018    0.018 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\quantize.py:1(<module>)
        1    0.000    0.000    0.018    0.018 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\functional.py:1(<module>)
        1    0.000    0.000    0.017    0.017 C:\Users\Choigj\anaconda3\lib\asyncio\windows_events.py:1(<module>)
        1    0.000    0.000    0.017    0.017 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\__init__.py:1(<module>)
        1    0.003    0.003    0.017    0.017 {built-in method torch._C._initExtension}
2024/1923    0.002    0.000    0.016    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:255(inner)
        1    0.000    0.000    0.016    0.016 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\__init__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\quantization_mappings.py:1(<module>)
        1    0.000    0.000    0.016    0.016 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\batchnorm.py:1(<module>)
    85106    0.016    0.000    0.016    0.000 {built-in method torch._C._set_grad_enabled}
     1735    0.001    0.000    0.015    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:604(transpose)
        1    0.000    0.000    0.015    0.015 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\_functions.py:1(<module>)
        1    0.000    0.000    0.015    0.015 C:\Users\Choigj\anaconda3\lib\http\client.py:1(<module>)
        1    0.000    0.000    0.015    0.015 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\__init__.py:1(<module>)
      771    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.014    0.014 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\__init__.py:1(<module>)
    42494    0.014    0.000    0.014    0.000 {built-in method time.time}
        1    0.000    0.000    0.014    0.014 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\index_tricks.py:1(<module>)
104245/103615    0.014    0.000    0.014    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.013    0.013 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\__init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\multiarray.py:1(<module>)
    34/29    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
    34/29    0.001    0.000    0.013    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.013    0.013 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_script.py:1(<module>)
        1    0.000    0.000    0.013    0.013 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\__init__.py:1(<module>)
      337    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
       95    0.000    0.000    0.013    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:937(parse)
        1    0.000    0.000    0.013    0.013 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\parallel\__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 C:\Users\Choigj\anaconda3\lib\asyncio\windows_utils.py:1(<module>)
   252/95    0.001    0.000    0.012    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:435(_parse_sub)
        2    0.000    0.000    0.012    0.006 D:\MyProject\alphaCG\oware\owareNNet.py:14(__init__)
        9    0.012    0.001    0.012    0.001 D:\MyProject\alphaCG\Manager.py:59(<listcomp>)
     1735    0.004    0.000    0.012    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:42(_wrapit)
  309/102    0.005    0.000    0.012    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:493(_parse)
        1    0.000    0.000    0.012    0.012 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\iter\__init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\_distributor_init.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\overrides.py:1(<module>)
     1334    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\tempfile.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\fakedata.py:1(<module>)
     1428    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\kinetics.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\site-packages\mkl\__init__.py:26(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\site-packages\torch\optim\__init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Choigj\anaconda3\lib\email\parser.py:5(<module>)
        1    0.000    0.000    0.011    0.011 D:\MyProject\alphaCG\Manager.py:18(__init__)
        1    0.000    0.000    0.010    0.010 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\transforms\__init__.py:1(<module>)
       86    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.010    0.010 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\numeric.py:1(<module>)
       14    0.000    0.000    0.010    0.001 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\linear.py:75(__init__)
        1    0.000    0.000    0.010    0.010 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\video_utils.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\Choigj\anaconda3\lib\email\feedparser.py:5(<module>)
       45    0.002    0.000    0.010    0.000 C:\Users\Choigj\anaconda3\lib\collections\__init__.py:313(namedtuple)
        1    0.000    0.000    0.010    0.010 C:\Users\Choigj\anaconda3\lib\site-packages\torch\multiprocessing\__init__.py:1(<module>)
     6114    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.010    0.010 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:17(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\std.py:1(<module>)
       89    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\_register_onnx_ops.py:8(_register_custom_op)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\socket.py:4(<module>)
       14    0.000    0.000    0.009    0.001 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\linear.py:88(reset_parameters)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\ssl.py:4(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\matrixlib\__init__.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\compat\__init__.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\shutil.py:1(<module>)
     1462    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\terminal\__init__.py:7(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\transforms\transforms.py:1(<module>)
       14    0.000    0.000    0.009    0.001 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\init.py:360(kaiming_uniform_)
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\dataloader.py:1(<module>)
       28    0.008    0.000    0.008    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
       95    0.000    0.000    0.008    0.000 C:\Users\Choigj\anaconda3\lib\sre_compile.py:598(_code)
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_recursive.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\matrixlib\defmatrix.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\utils.py:1(<module>)
      748    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
    42456    0.008    0.000    0.008    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2087(_sum_dispatcher)
    44669    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\email\_policybase.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\rnn.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\io\__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\compat\py3k.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\conv.py:2(<module>)
       20    0.000    0.000    0.007    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansitowin32.py:40(write)
        1    0.000    0.000    0.007    0.007 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\gradcheck.py:1(<module>)
       89    0.007    0.000    0.007    0.000 {built-in method nt.listdir}
       20    0.000    0.000    0.007    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansitowin32.py:160(write)
     1735    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(nonzero)
